"Reference","Value","Datasheet","Footprint","Qty","Digi-Key Part Number","Farnell","Manufacturer_Name","Mouser Part Number"
"C1,C2,C12","10nF","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","Capacitor_SMD:C_0805_2012Metric","3","399-C0805C103K1RAC7800CT-ND","1414661","KEMET","C0805C103K1RACTU"
"C3,C4,C5,C6,C10,C16,C19,C20,C21,C22,C23,C24,C25","100nF","https://datasheets.kyocera-avx.com/FlexitermMLCC.pdf","Capacitor_SMD:C_0805_2012Metric","13","478-KAF21KR72A104MUCT-ND","3500373","KYOCERA AVX","08051C104M4Z2A"
"C7,C9,C11,C13,C14,C30","1uF","https://search.kemet.com/component-documentation/download/specsheet/C0805C105K4PACTU","Capacitor_SMD:C_0805_2012Metric","6","399-C0805C105K4PAC7800CT-ND","2522445","KEMET","C0805C105K4PACTU"
"C8,C15,C27,C29","10uF","https://www.farnell.com/datasheets/3768562.pdf","Capacitor_SMD:C_0805_2012Metric","4","478-KGM21AR51A106MUCT-ND","2332831","KYOCERA AVX","0805ZD106MAT2A"
"C17,C18","30pF","https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf","Capacitor_SMD:C_0805_2012Metric","2","399-C0805C300J5GAC7800CT-ND","2581093","KEMET","C0805C300J5GACTU"
"C26","330pF","https://4donline.ihs.com/images/VipMasterIC/IC/AVXC/AVXC-S-A0013335498/AVXC-S-A0014059611-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Capacitor_SMD:C_0805_2012Metric","1","478-KGM21NR72D331KTCT-ND","3340866","KYOCERA AVX","08052C331KAT2A"
"C28","150nF","https://content.kemet.com/datasheets/KEM_C1023_X7R_AUTO_SMD.pdf","Capacitor_SMD:C_0805_2012Metric","1","399-15888-1-ND","2070452","KEMET","C0805C154K5RACAUTO"
"D1","BAT60AE6327HTSA1","https://www.farnell.com/datasheets/1835968.pdf","Diode_SMD:D_SOD-323","1","BAT60AE6327HTSA1CT-ND","2432679","INFINEON","BAT60AE6327HTSA1"
"D2","LED","https://optoelectronics.liteon.com/upload/download/DS22-2000-223/LTST-C191KRKT.PDF","LED_SMD:LED_0805_2012Metric","1","160-1447-1-ND","","LITE_ON INC.","LTST-C191KRKT"
"e1","ECS-160-20-4X","https://www.farnell.com/datasheets/3764756.pdf","Crystal:Crystal_HC49-4H_Vertical","1","X1103-ND","4059213","ECS INC INTERNATIONAL","ECS-160-20-4X"
"FB1,FB2,FB3","HZ0805E601R-10","https://www.farnell.com/datasheets/1685710.pdf","Inductor_SMD:L_0805_2012Metric","3","240-2399-1-ND","2292412","LAIRD","HZ0805E601R-10"
"IC1","DAC81416RHAT","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdac81416","footprints:QFN50P600X600X100-41N-D","1","296-53025-1-ND","","TEXAS INSTRUMENTS","DAC81416RHAT"
"J1","SEL 3V3","https://www.te.com/usa-en/product-3-644456-3.datasheet.pdf","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","3398484","AMP - TE CONNECTIVITY","3-644456-3"
"J2","5V EXT","https://www.farnell.com/datasheets/3148563.pdf","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1","","1593426","MULTICOMP PRO","MC34745"
"J3","3V3 EXT","https://www.farnell.com/datasheets/3148563.pdf","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1","","1593426","MULTICOMP PRO","MC34745"
"J4","SEL 5V","https://www.te.com/usa-en/product-3-644456-3.datasheet.pdf","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","3398484","AMP - TE CONNECTIVITY","3-644456-3"
"J5","Conn_01x02_Male","https://www.farnell.com/datasheets/3148563.pdf","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1","","MC34745","MULTICOMP PRO","MC34745"
"J6","Conn_01x03_Male","https://www.te.com/usa-en/product-3-644456-3.datasheet.pdf","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","3398484","AMP - TE CONNECTIVITY","3-644456-3"
"J7","UART","https://www.farnell.com/datasheets/3148564.pdf","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","1","","1593427","MULTICOMP PRO","MC34747"
"J8","292304-1","https://www.farnell.com/datasheets/2365064.pdf","footprints:TE_292304-1","1","","1076665","AMP - TE CONNECTIVITY","292304-1"
"J9","FTSH-105-01-F-DV-K-P-TR","https://www.farnell.com/datasheets/2570365.pdf","footprints:FTSH-105-XX-YYY-DV-K-P-TR","1","","3550948","SAMTEC","FTSH-105-01-F-DV-K-P-TR"
"J10","Screw_Terminal_01x03","https://media.metz-connect.com/index.php?itno=310591&type=datasheet&language=en","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type059_RT06303HBWC_1x03_P3.50mm_Horizontal","1","","31059103","METZ CONNECT","METZ CONNECT"
"J11,J14","DAC_VDD_SEL","https://www.te.com/usa-en/product-3-644456-3.datasheet.pdf","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","","3398484","AMP - TE CONNECTIVITY","3-644456-3"
"J12,J15","DAC_REF_SEL","https://www.te.com/usa-en/product-3-644456-3.datasheet.pdf","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","","3398484","AMP - TE CONNECTIVITY","3-644456-3"
"J13","DAC_EXT_REF","https://www.farnell.com/datasheets/3148563.pdf","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1","","1593426","MULTICOMP PRO","MC34745"
"J16","Conn_02x16_Counter_Clockwise","https://4donline.ihs.com/images/VipMasterIC/IC/SAMI/SAMI-S-A0010456336/SAMI-S-A0010456336-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Horizontal","1","","3661253","SAMTEC","SSW-108-02-F-D-RA"
"JP1,JP2,JP3","Jumper_01x02_2.54mm","https://www.te.com/usa-en/product-3-644456-2.datasheet.pdf","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","3","","2751368","AMP - TE CONNECTIVITY","3-644456-2"
"R1,R2,R3","10K","https://4donline.ihs.com/images/VipMasterIC/IC/VISH/VISH-S-A0013672238/VISH-S-A0013672238-1.pdf?hkey=6D3A4C79FDBF58556ACFDE234799DDF0","Resistor_SMD:R_0805_2012Metric","3","","1739242","VISHAY","CRCW080510K0JNEAIF"
"R4","100","https://www.farnell.com/datasheets/2310790.pdf","Resistor_SMD:R_0805_2012Metric","1","","1652906","VISHAY","CRCW0805100RFKTA"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10","TestPoint","~","TestPoint:TestPoint_Pad_1.0x1.0mm","10","","","",""
"U1","LDK130M33R","https://www.farnell.com/datasheets/2581716.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","2849788","STMICROELECTRONICS","LDK130M33R"
"U2","REF5025AID","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fref5020","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","296-22203-5-ND","","TEXAS INSTRUMENTS","REF5025AID"
"U3","STM32L476RGT6","https://www.farnell.com/datasheets/3679146.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1","","2494460","STMICROELECTRONICS","STM32L476RGT6"
